x_world,z_world
-0.128136,-0.142726
-0.127257,-0.153852
0.066925,-0.459461
0.076863,-0.459475
0.086875,-0.459489
0.096970,-0.459503
0.107160,-0.459518
0.115977,-0.459530
0.126371,-0.459544
0.136891,-0.459559
0.147549,-0.459574
0.156805,-0.459587
0.167755,-0.459602
0.177281,-0.459616
0.186947,-0.459629
0.196761,-0.459643
0.206734,-0.459657
0.216878,-0.459671
0.227204,-0.459688
0.237724,-0.459706
0.248451,-0.459723
0.257558,-0.459739
0.268700,-0.459757
0.278173,-0.459773
0.287827,-0.459789
0.299666,-0.459809
0.309755,-0.459826
0.328465,-0.459857
0.339187,-0.459875
-0.130199,-0.147604
-0.133890,-0.157420
-0.443271,-0.547859
-0.443384,-0.554707
-0.443554,-0.565177
-0.146790,-0.205902
-0.444323,-0.617421
-0.444483,-0.629416
-0.444590,-0.637583
-0.444854,-0.658636
-0.445061,-0.676163
-0.445218,-0.689739
0.003054,-1.012403
0.054710,-0.457900
0.310292,-0.457831
0.343932,-0.457887
0.622412,-0.692905
0.623646,-0.685932
0.626590,-0.676771
0.630582,-0.668821
-0.442136,-0.493484
-0.442383,-0.505551
-0.442565,-0.514817
-0.442744,-0.524274
-0.442922,-0.533935
-0.151789,-0.201747
-0.444591,-0.643616
-0.444802,-0.660383
-0.445165,-0.691202
-0.445268,-0.700378
-0.445422,-0.714471
-0.445523,-0.724091
-0.445627,-0.733905
-0.445729,-0.743912
-0.054800,-1.011823
-0.045654,-1.011837
-0.039561,-1.011846
-0.024340,-1.011870
-0.015213,-1.011883
0.015203,-1.011930
0.024331,-1.011944
0.030419,-1.011954
0.045650,-1.011977
0.057850,-1.011996
0.053192,-0.462783
0.625313,-0.719116
0.622552,-0.707499
-0.441563,-0.473493
-0.441821,-0.484875
-0.443998,-0.606379
-0.124605,-1.012011
-0.115403,-1.012026
-0.109279,-1.012035
-0.094005,-1.012058
-0.084861,-1.012072
-0.078774,-1.012082
-0.066616,-1.012100
0.063592,-1.012300
-0.146298,-0.199791
-0.443723,-0.593997
-0.445678,-0.750966
-0.163689,-1.011704
-0.154442,-1.011719
-0.145222,-1.011733
-0.139090,-1.011742
0.053203,-0.486637
0.628077,-0.725635
-0.150758,-0.197634
-0.443499,-0.585811
-0.196564,-1.011387
-0.184174,-1.011406
-0.174918,-1.011420
0.053215,-0.505109
-0.139585,-0.201226
-0.443271,-0.578050
-0.226358,-1.011200
-0.213887,-1.011219
-0.207677,-1.011228
0.053251,-0.568468
0.053235,-0.538166
0.053226,-0.524254
0.053215,-0.511081
0.053203,-0.498589
-0.253083,-1.011150
-0.246793,-1.011159
-0.234273,-1.011179
0.053265,-0.627317
0.053261,-0.608559
0.053256,-0.590966
0.053251,-0.574426
0.053243,-0.558841
0.053235,-0.544131
0.053161,-0.470688
-0.273524,-1.011133
-0.264048,-1.011148
-0.290777,-1.011128
-0.284426,-1.011138
0.053270,-0.659281
0.053267,-0.639256
0.053250,-0.586366
-0.140242,-0.211310
-0.307977,-1.011034
0.053268,-0.734403
0.053272,-0.709688
0.053273,-0.686706
0.053271,-0.665279
0.053268,-0.645256
-0.325156,-1.010924
-0.318737,-1.010933
0.060358,-0.859345
0.053273,-0.715709
0.053274,-0.692727
0.053272,-0.671302
0.053258,-0.614921
-0.345571,-1.010797
-0.339096,-1.010807
0.071587,-1.011437
0.061186,-0.845449
-0.362779,-1.010673
-0.356257,-1.010683
0.053275,-0.727852
-0.373444,-1.010567
0.631927,-0.732604
-0.387368,-1.010471
-0.404620,-1.010389
-0.397979,-1.010400
-0.415232,-1.010335
-0.432559,-1.010283
-0.429184,-1.010289
-0.443155,-1.010246
-0.450313,-1.010207
-0.467695,-1.010115
-0.478220,-1.010018
-0.488725,-1.009909
-0.499221,-1.009799
-0.509718,-1.009697
-0.520225,-1.009609
-0.513113,-1.009620
-0.530750,-1.009537
-0.548222,-1.009440
0.053270,-0.741289
-0.558794,-1.009397
-0.565687,-1.009353
-0.583122,-1.009198
-0.579375,-1.009203
0.061603,-0.832361
-0.600562,-1.008991
-0.596753,-1.008997
-0.618069,-1.008797
-0.621002,-1.008729
-0.638575,-1.008617
-0.641409,-1.008581
-0.652216,-1.008530
-0.669904,-1.008399
0.061002,-0.823814
-0.675162,-1.008240
0.060610,-0.815164
-0.682679,-1.007989
0.080430,-1.009159
-0.697312,-1.008623
-0.700265,-1.009293
0.049833,-0.520457
0.049523,-0.501892
0.049307,-0.491236
0.049125,-0.483221
